traveler_id,total_interactions,total_behavior_strength,avg_poi_rating,avg_poi_popularity,avg_price_level,avg_tourist_level
U0046,75,209,4.1142666666666665,0.5698266666666667,2.56,0.54096
U0047,79,216,4.121518987341773,0.5628227848101266,2.5063291139240507,0.4619746835443038
U0048,68,246,4.022794117647059,0.5448529411764705,2.3088235294117645,0.6098970588235294
U0049,72,285,4.099722222222223,0.5607500000000001,2.375,0.5467083333333334
U0050,74,161,4.122837837837838,0.5905,2.7162162162162162,0.530472972972973
U0051,72,216,4.139722222222222,0.5794722222222223,2.5,0.5678055555555556
U0052,65,136,4.085384615384616,0.5473076923076924,2.5076923076923077,0.506523076923077
U0053,55,94,4.17,0.5322181818181818,2.381818181818182,0.4774181818181818
U0054,61,120,4.19344262295082,0.5782295081967213,2.5245901639344264,0.5293770491803279
U0055,62,151,3.999032258064516,0.5481290322580645,2.3870967741935485,0.6087419354838709
U0056,66,139,4.083787878787879,0.5551515151515152,2.4545454545454546,0.521
U0057,65,282,4.061846153846154,0.5514769230769231,2.3692307692307693,0.6034615384615385
U0058,72,266,4.137638888888889,0.5519722222222222,2.4305555555555554,0.48701388888888886
U0059,72,202,4.1325,0.5698888888888889,2.2083333333333335,0.6045555555555555
U0060,68,243,4.135294117647058,0.5356176470588235,2.5294117647058822,0.48475
U0061,81,452,4.114074074074074,0.5515555555555556,2.54320987654321,0.4761604938271605
U0062,72,209,4.093472222222222,0.5536944444444445,2.3055555555555554,0.5822222222222222
U0063,71,178,4.125774647887324,0.5588028169014084,2.5211267605633805,0.5164084507042254
U0064,79,347,4.10493670886076,0.5771139240506329,2.6962025316455698,0.49734177215189873
U0065,65,259,4.099538461538462,0.5237076923076923,2.476923076923077,0.4823076923076923
U0066,72,222,4.107777777777778,0.5384166666666667,2.4583333333333335,0.47556944444444443
U0067,65,202,4.023846153846154,0.5282923076923076,2.353846153846154,0.5877230769230769
U0068,72,211,4.1161111111111115,0.6009305555555556,2.2916666666666665,0.5639444444444445
U0069,76,209,4.1322368421052635,0.5535657894736842,2.473684210526316,0.4795921052631579
U0070,58,139,4.0249999999999995,0.5452931034482759,2.4310344827586206,0.5932758620689654
U0071,71,266,4.118732394366197,0.5444929577464789,2.492957746478873,0.5159154929577465
U0072,72,268,4.027638888888889,0.556138888888889,2.4166666666666665,0.5830972222222222
U0073,79,249,4.081898734177215,0.5649113924050633,2.3797468354430378,0.5749367088607595
U0074,79,328,4.17379746835443,0.5597215189873418,2.392405063291139,0.49810126582278486
U0075,78,364,4.089871794871795,0.534974358974359,2.6923076923076925,0.4971666666666667
U0076,66,136,4.155454545454545,0.5399090909090909,2.6666666666666665,0.486060606060606
U0077,58,132,4.016034482758621,0.5108275862068965,2.603448275862069,0.5419827586206897
U0078,77,297,4.1131168831168825,0.541961038961039,2.6233766233766236,0.5046103896103896
U0079,57,188,4.052280701754386,0.554859649122807,2.3157894736842106,0.5949298245614035
U0080,78,304,4.115128205128205,0.5792692307692308,2.3974358974358974,0.5696923076923077
U0081,78,327,4.112307692307692,0.5353974358974359,2.7051282051282053,0.5074102564102565
U0082,73,251,4.1665753424657535,0.5186986301369864,2.5753424657534247,0.5279999999999999
U0083,65,219,4.106461538461539,0.5891076923076923,2.3230769230769233,0.5192769230769231
U0084,73,213,4.087534246575342,0.5591369863013699,2.589041095890411,0.5584520547945205
U0085,76,331,4.099342105263158,0.5458815789473684,2.4078947368421053,0.47774999999999995
U0086,68,189,4.162941176470588,0.5878970588235294,2.264705882352941,0.5544117647058824
U0087,65,162,4.047692307692308,0.5500769230769231,2.3846153846153846,0.5855076923076923
U0088,73,213,4.146575342465753,0.5653424657534247,2.26027397260274,0.5718493150684931
U0089,74,193,4.120405405405406,0.5552297297297297,2.72972972972973,0.5093783783783784
U0090,72,288,4.001388888888889,0.5585,2.361111111111111,0.5893888888888889
U0091,74,217,4.168648648648649,0.5962027027027027,2.445945945945946,0.561
U0092,64,181,4.10765625,0.57384375,2.546875,0.51740625
U0093,77,248,4.10974025974026,0.551948051948052,2.4285714285714284,0.48541558441558447
U0094,70,254,4.129714285714286,0.5771999999999999,2.5,0.5231571428571429
U0095,68,164,4.125441176470589,0.5454117647058824,2.661764705882353,0.5306029411764707
U0096,72,295,4.035416666666666,0.5467361111111111,2.4027777777777777,0.6094861111111112
U0097,75,261,4.070533333333334,0.57308,2.546666666666667,0.5433066666666666
U0098,67,145,4.168059701492537,0.5354029850746269,2.4925373134328357,0.5103432835820895
U0099,76,216,4.154868421052631,0.5553026315789474,2.460526315789474,0.48368421052631577
U0100,68,153,4.161323529411765,0.5746764705882353,2.3676470588235294,0.4686764705882353
