traveler_id,poi_id,interaction_type,timestamp,interaction_weight
U0035,P0393,dismiss,2025-01-03T11:49:00,-3
U0024,P0419,click,2025-01-03T12:07:00,2
U0072,P0401,save,2025-01-03T12:40:00,4
U0012,P0121,view,2025-01-03T14:17:00,1
U0059,P0092,visit,2025-01-03T15:16:00,8
U0098,P0402,view,2025-01-03T16:20:00,1
U0083,P0280,view,2025-01-03T16:57:00,1
U0038,P0119,click,2025-01-03T18:19:00,2
U0018,P0135,save,2025-01-03T19:56:00,4
U0054,P0358,click,2025-01-04T01:02:00,2
U0095,P0179,click,2025-01-04T01:42:00,2
U0028,P0462,visit,2025-01-04T02:55:00,8
U0092,P0086,click,2025-01-04T03:23:00,2
U0075,P0474,view,2025-01-04T03:26:00,1
U0018,P0073,share,2025-01-04T03:43:00,5
U0027,P0257,view,2025-01-04T04:28:00,1
U0049,P0115,view,2025-01-04T05:16:00,1
U0095,P0244,view,2025-01-04T05:39:00,1
U0001,P0328,click,2025-01-04T05:44:00,2
U0020,P0131,visit,2025-01-04T05:59:00,8
U0005,P0206,view,2025-01-04T06:19:00,1
U0024,P0439,click,2025-01-04T07:53:00,2
U0018,P0331,click,2025-01-04T07:56:00,2
U0091,P0319,visit,2025-01-04T10:15:00,8
U0026,P0365,view,2025-01-04T11:00:00,1
U0068,P0480,view,2025-01-04T11:31:00,1
U0010,P0050,save,2025-01-04T13:01:00,4
U0008,P0415,visit,2025-01-04T13:08:00,8
U0067,P0489,share,2025-01-04T14:16:00,5
U0059,P0325,click,2025-01-04T15:04:00,2
U0079,P0076,view,2025-01-04T15:26:00,1
U0072,P0476,booking,2025-01-04T17:27:00,10
U0064,P0012,click,2025-01-04T20:57:00,2
U0015,P0479,view,2025-01-05T00:43:00,1
U0017,P0438,booking,2025-01-05T02:24:00,10
U0054,P0463,click,2025-01-05T02:33:00,2
U0024,P0149,visit,2025-01-05T03:40:00,8
U0067,P0255,click,2025-01-05T05:04:00,2
U0015,P0150,view,2025-01-05T05:26:00,1
U0069,P0323,share,2025-01-05T06:12:00,5
U0089,P0139,view,2025-01-05T06:12:00,1
U0012,P0284,view,2025-01-05T07:16:00,1
U0041,P0083,view,2025-01-05T07:20:00,1
U0086,P0311,visit,2025-01-05T07:36:00,8
U0088,P0126,share,2025-01-05T08:30:00,5
U0065,P0464,booking,2025-01-05T09:52:00,10
U0010,P0399,click,2025-01-05T10:00:00,2
U0048,P0446,click,2025-01-05T10:54:00,2
U0074,P0030,dismiss,2025-01-05T11:02:00,-3
U0010,P0358,view,2025-01-05T11:12:00,1
U0029,P0228,save,2025-01-05T11:46:00,4
U0023,P0054,save,2025-01-05T12:59:00,4
U0085,P0483,visit,2025-01-05T13:04:00,8
U0030,P0181,view,2025-01-05T13:30:00,1
U0004,P0307,save,2025-01-05T14:57:00,4
U0027,P0222,view,2025-01-05T15:51:00,1
U0034,P0256,view,2025-01-05T15:59:00,1
U0067,P0165,visit,2025-01-05T16:33:00,8
U0026,P0167,view,2025-01-05T16:37:00,1
U0080,P0314,view,2025-01-05T17:18:00,1
U0061,P0230,visit,2025-01-05T18:21:00,8
U0059,P0155,click,2025-01-05T19:02:00,2
U0034,P0270,view,2025-01-05T19:22:00,1
U0019,P0275,save,2025-01-05T19:32:00,4
U0074,P0242,click,2025-01-05T19:34:00,2
U0049,P0445,click,2025-01-05T20:23:00,2
U0082,P0237,save,2025-01-05T20:29:00,4
U0060,P0421,visit,2025-01-05T22:09:00,8
U0015,P0142,view,2025-01-05T22:53:00,1
U0073,P0423,click,2025-01-06T00:00:00,2
U0048,P0489,visit,2025-01-06T03:09:00,8
U0071,P0108,view,2025-01-06T05:22:00,1
U0053,P0134,save,2025-01-06T06:54:00,4
U0063,P0302,click,2025-01-06T07:01:00,2
U0066,P0030,visit,2025-01-06T07:54:00,8
U0007,P0175,view,2025-01-06T08:41:00,1
U0045,P0149,save,2025-01-06T09:16:00,4
U0026,P0007,view,2025-01-06T14:24:00,1
U0063,P0272,click,2025-01-06T14:54:00,2
U0019,P0252,click,2025-01-06T15:29:00,2
U0056,P0046,click,2025-01-06T17:11:00,2
U0091,P0336,share,2025-01-06T19:32:00,5
U0014,P0405,view,2025-01-06T21:15:00,1
U0027,P0060,visit,2025-01-06T21:17:00,8
U0001,P0156,share,2025-01-06T21:46:00,5
U0092,P0369,view,2025-01-07T00:40:00,1
U0031,P0013,view,2025-01-07T00:50:00,1
U0073,P0491,booking,2025-01-07T01:31:00,10
U0083,P0281,share,2025-01-07T02:41:00,5
U0071,P0253,visit,2025-01-07T02:54:00,8
U0082,P0243,dismiss,2025-01-07T02:58:00,-3
U0047,P0292,dismiss,2025-01-07T03:33:00,-3
U0081,P0134,share,2025-01-07T03:59:00,5
U0074,P0099,view,2025-01-07T04:47:00,1
U0024,P0377,visit,2025-01-07T05:41:00,8
U0059,P0467,view,2025-01-07T06:44:00,1
U0010,P0275,visit,2025-01-07T07:02:00,8
U0074,P0218,click,2025-01-07T07:51:00,2
U0057,P0078,save,2025-01-07T08:28:00,4
U0088,P0174,click,2025-01-07T13:50:00,2
U0085,P0394,click,2025-01-07T15:04:00,2
U0093,P0416,click,2025-01-07T15:09:00,2
U0003,P0217,save,2025-01-07T18:18:00,4
U0031,P0103,view,2025-01-07T19:06:00,1
U0038,P0302,booking,2025-01-07T19:17:00,10
U0071,P0082,visit,2025-01-07T19:44:00,8
U0030,P0005,view,2025-01-07T21:15:00,1
U0066,P0485,booking,2025-01-07T21:20:00,10
U0034,P0481,share,2025-01-07T21:30:00,5
U0080,P0414,click,2025-01-07T23:07:00,2
U0045,P0432,click,2025-01-07T23:43:00,2
U0040,P0404,click,2025-01-07T23:54:00,2
U0068,P0344,save,2025-01-08T01:26:00,4
U0046,P0346,view,2025-01-08T03:05:00,1
U0053,P0013,view,2025-01-08T05:40:00,1
U0020,P0486,view,2025-01-08T05:40:00,1
U0008,P0370,click,2025-01-08T06:59:00,2
U0095,P0147,view,2025-01-08T07:09:00,1
U0057,P0489,visit,2025-01-08T09:20:00,8
U0080,P0151,click,2025-01-08T12:04:00,2
U0070,P0136,save,2025-01-08T12:11:00,4
U0097,P0455,share,2025-01-08T13:20:00,5
U0050,P0172,view,2025-01-08T15:50:00,1
U0071,P0044,visit,2025-01-08T18:20:00,8
U0058,P0475,click,2025-01-08T20:43:00,2
U0035,P0414,share,2025-01-08T23:15:00,5
U0015,P0393,save,2025-01-08T23:45:00,4
U0068,P0202,view,2025-01-09T00:18:00,1
U0046,P0238,view,2025-01-09T00:18:00,1
U0075,P0231,share,2025-01-09T00:44:00,5
U0088,P0436,visit,2025-01-09T01:57:00,8
U0063,P0036,view,2025-01-09T02:29:00,1
U0045,P0051,click,2025-01-09T03:03:00,2
U0069,P0112,visit,2025-01-09T03:56:00,8
U0079,P0460,view,2025-01-09T04:19:00,1
U0048,P0100,view,2025-01-09T06:27:00,1
U0072,P0382,save,2025-01-09T07:39:00,4
U0008,P0354,view,2025-01-09T08:35:00,1
U0064,P0119,view,2025-01-09T09:44:00,1
U0038,P0158,click,2025-01-09T10:53:00,2
U0089,P0061,view,2025-01-09T11:15:00,1
U0031,P0237,save,2025-01-09T11:35:00,4
U0088,P0259,save,2025-01-09T12:02:00,4
U0083,P0463,view,2025-01-09T12:10:00,1
U0093,P0377,view,2025-01-09T13:07:00,1
U0086,P0319,view,2025-01-09T13:44:00,1
U0036,P0440,save,2025-01-09T14:00:00,4
U0050,P0447,visit,2025-01-09T15:13:00,8
U0062,P0043,click,2025-01-09T16:48:00,2
U0008,P0224,view,2025-01-09T16:52:00,1
U0034,P0217,view,2025-01-09T18:43:00,1
U0054,P0390,view,2025-01-09T19:20:00,1
U0086,P0162,save,2025-01-09T20:21:00,4
U0024,P0030,view,2025-01-09T22:12:00,1
U0095,P0173,view,2025-01-09T22:46:00,1
U0087,P0060,dismiss,2025-01-09T23:23:00,-3
U0087,P0278,click,2025-01-09T23:55:00,2
U0022,P0344,click,2025-01-10T01:27:00,2
U0083,P0497,view,2025-01-10T03:06:00,1
U0078,P0256,click,2025-01-10T03:55:00,2
U0063,P0169,click,2025-01-10T09:32:00,2
U0068,P0477,visit,2025-01-10T11:54:00,8
U0024,P0373,view,2025-01-10T13:36:00,1
U0072,P0469,save,2025-01-10T14:09:00,4
U0035,P0429,view,2025-01-10T17:30:00,1
U0027,P0032,visit,2025-01-10T19:06:00,8
U0065,P0070,click,2025-01-10T20:07:00,2
U0096,P0284,visit,2025-01-10T20:39:00,8
U0033,P0075,click,2025-01-10T20:50:00,2
U0012,P0451,visit,2025-01-10T21:00:00,8
U0071,P0298,view,2025-01-10T22:14:00,1
U0037,P0428,view,2025-01-11T00:47:00,1
U0044,P0447,save,2025-01-11T00:58:00,4
U0023,P0091,view,2025-01-11T00:59:00,1
U0064,P0036,visit,2025-01-11T01:14:00,8
U0012,P0047,click,2025-01-11T01:44:00,2
U0050,P0359,visit,2025-01-11T02:36:00,8
U0034,P0111,save,2025-01-11T04:26:00,4
U0080,P0443,click,2025-01-11T04:38:00,2
U0083,P0019,save,2025-01-11T04:51:00,4
U0024,P0420,view,2025-01-11T05:18:00,1
U0051,P0191,click,2025-01-11T06:25:00,2
U0096,P0052,view,2025-01-11T08:58:00,1
U0052,P0104,click,2025-01-11T10:15:00,2
U0091,P0202,view,2025-01-11T10:54:00,1
U0082,P0402,save,2025-01-11T11:44:00,4
U0037,P0481,share,2025-01-11T12:05:00,5
U0069,P0264,save,2025-01-11T12:51:00,4
U0044,P0166,booking,2025-01-11T13:51:00,10
U0044,P0158,visit,2025-01-11T15:42:00,8
U0037,P0177,view,2025-01-11T16:06:00,1
U0048,P0284,booking,2025-01-11T16:32:00,10
U0082,P0085,save,2025-01-11T17:25:00,4
U0080,P0040,booking,2025-01-11T17:48:00,10
U0044,P0087,visit,2025-01-11T18:44:00,8
U0043,P0376,view,2025-01-11T19:03:00,1
U0044,P0140,save,2025-01-11T20:52:00,4
U0089,P0466,click,2025-01-11T21:31:00,2
U0016,P0424,dismiss,2025-01-11T22:24:00,-3
U0022,P0246,visit,2025-01-11T22:30:00,8
U0066,P0323,save,2025-01-11T23:29:00,4
U0064,P0037,view,2025-01-11T23:44:00,1
U0041,P0063,view,2025-01-12T04:07:00,1
U0011,P0037,click,2025-01-12T04:37:00,2
U0095,P0061,click,2025-01-12T06:09:00,2
U0067,P0382,visit,2025-01-12T06:43:00,8
U0037,P0101,share,2025-01-12T09:17:00,5
U0021,P0048,view,2025-01-12T09:26:00,1
U0099,P0204,visit,2025-01-12T09:45:00,8
U0025,P0480,view,2025-01-12T10:27:00,1
U0097,P0358,view,2025-01-12T12:06:00,1
U0076,P0389,view,2025-01-12T13:59:00,1
U0089,P0421,visit,2025-01-12T15:53:00,8
U0033,P0244,view,2025-01-12T16:32:00,1
U0052,P0140,view,2025-01-12T17:30:00,1
U0100,P0204,share,2025-01-12T18:16:00,5
U0029,P0168,view,2025-01-12T18:36:00,1
U0079,P0306,visit,2025-01-12T21:02:00,8
U0032,P0448,view,2025-01-12T21:27:00,1
U0072,P0093,booking,2025-01-12T21:40:00,10
U0045,P0384,visit,2025-01-13T00:41:00,8
U0068,P0491,share,2025-01-13T03:39:00,5
U0081,P0135,share,2025-01-13T06:14:00,5
U0091,P0246,save,2025-01-13T06:37:00,4
U0087,P0039,view,2025-01-13T08:55:00,1
U0046,P0339,view,2025-01-13T09:00:00,1
U0061,P0090,save,2025-01-13T11:20:00,4
U0021,P0419,click,2025-01-13T12:39:00,2
U0043,P0432,share,2025-01-13T15:06:00,5
U0044,P0307,click,2025-01-13T15:20:00,2
U0018,P0134,view,2025-01-13T15:57:00,1
U0090,P0065,visit,2025-01-13T16:11:00,8
U0054,P0184,view,2025-01-13T17:10:00,1
U0039,P0244,view,2025-01-13T17:17:00,1
U0002,P0332,share,2025-01-13T21:12:00,5
U0060,P0042,view,2025-01-13T22:38:00,1
U0084,P0395,click,2025-01-13T23:18:00,2
U0072,P0315,click,2025-01-13T23:54:00,2
U0052,P0169,save,2025-01-14T00:37:00,4
U0008,P0205,view,2025-01-14T02:22:00,1
U0004,P0374,visit,2025-01-14T04:00:00,8
U0054,P0260,share,2025-01-14T04:59:00,5
U0027,P0168,click,2025-01-14T05:12:00,2
U0011,P0156,share,2025-01-14T06:10:00,5
U0056,P0252,click,2025-01-14T06:29:00,2
U0024,P0204,view,2025-01-14T06:30:00,1
U0042,P0263,visit,2025-01-14T06:36:00,8
U0086,P0442,click,2025-01-14T06:51:00,2
U0055,P0387,view,2025-01-14T08:04:00,1
U0052,P0077,click,2025-01-14T12:09:00,2
U0078,P0073,share,2025-01-14T13:50:00,5
U0026,P0232,view,2025-01-14T14:33:00,1
U0073,P0191,view,2025-01-14T14:47:00,1
U0052,P0424,click,2025-01-14T18:08:00,2
U0061,P0459,view,2025-01-14T19:41:00,1
U0012,P0003,share,2025-01-14T20:31:00,5
U0097,P0206,booking,2025-01-14T20:40:00,10
U0031,P0194,view,2025-01-14T22:27:00,1
U0006,P0099,click,2025-01-14T23:11:00,2
U0004,P0141,share,2025-01-15T01:20:00,5
U0006,P0295,share,2025-01-15T02:02:00,5
U0002,P0391,view,2025-01-15T03:56:00,1
U0066,P0118,visit,2025-01-15T05:34:00,8
U0078,P0398,click,2025-01-15T07:01:00,2
U0087,P0199,view,2025-01-15T07:30:00,1
U0060,P0075,click,2025-01-15T08:15:00,2
U0091,P0142,view,2025-01-15T12:36:00,1
U0020,P0312,click,2025-01-15T15:32:00,2
U0003,P0210,click,2025-01-15T15:54:00,2
U0097,P0427,view,2025-01-15T16:11:00,1
U0022,P0092,click,2025-01-15T18:02:00,2
U0087,P0232,view,2025-01-15T18:47:00,1
U0038,P0143,view,2025-01-15T19:57:00,1
U0076,P0386,view,2025-01-15T20:54:00,1
U0099,P0090,dismiss,2025-01-15T23:15:00,-3
U0046,P0328,click,2025-01-16T01:31:00,2
U0051,P0461,share,2025-01-16T02:20:00,5
U0083,P0318,visit,2025-01-16T02:58:00,8
U0100,P0118,share,2025-01-16T03:15:00,5
U0022,P0034,view,2025-01-16T03:47:00,1
U0035,P0175,click,2025-01-16T05:20:00,2
U0086,P0164,dismiss,2025-01-16T05:44:00,-3
U0009,P0475,save,2025-01-16T07:18:00,4
U0065,P0258,view,2025-01-16T08:31:00,1
U0058,P0221,visit,2025-01-16T11:51:00,8
U0011,P0172,view,2025-01-16T13:41:00,1
U0097,P0275,view,2025-01-16T14:47:00,1
U0046,P0369,dismiss,2025-01-16T15:11:00,-3
U0082,P0299,click,2025-01-16T16:02:00,2
U0058,P0230,click,2025-01-16T16:53:00,2
U0077,P0476,click,2025-01-16T18:46:00,2
U0068,P0091,view,2025-01-16T20:57:00,1
U0096,P0114,visit,2025-01-16T21:34:00,8
U0072,P0026,click,2025-01-16T21:54:00,2
U0038,P0371,share,2025-01-16T22:59:00,5
U0092,P0380,dismiss,2025-01-16T23:03:00,-3
U0035,P0354,click,2025-01-16T23:10:00,2
U0069,P0204,view,2025-01-17T00:10:00,1
U0068,P0162,booking,2025-01-17T01:29:00,10
U0098,P0210,save,2025-01-17T02:00:00,4
U0033,P0428,view,2025-01-17T03:21:00,1
U0093,P0234,booking,2025-01-17T04:22:00,10
U0080,P0385,visit,2025-01-17T06:07:00,8
U0059,P0336,click,2025-01-17T06:27:00,2
U0092,P0497,click,2025-01-17T07:26:00,2
U0009,P0023,click,2025-01-17T08:14:00,2
U0001,P0238,view,2025-01-17T10:04:00,1
U0019,P0392,view,2025-01-17T10:05:00,1
U0001,P0248,share,2025-01-17T10:25:00,5
U0035,P0034,click,2025-01-17T10:26:00,2
U0040,P0209,save,2025-01-17T12:40:00,4
U0071,P0468,click,2025-01-17T13:54:00,2
U0009,P0471,view,2025-01-17T14:16:00,1
U0059,P0430,share,2025-01-17T14:18:00,5
U0067,P0065,share,2025-01-17T15:18:00,5
U0072,P0138,save,2025-01-17T16:08:00,4
U0072,P0120,click,2025-01-17T16:40:00,2
U0073,P0467,save,2025-01-17T18:39:00,4
U0016,P0339,view,2025-01-17T18:41:00,1
U0067,P0214,click,2025-01-17T19:21:00,2
U0087,P0387,click,2025-01-17T20:45:00,2
U0018,P0108,save,2025-01-17T21:36:00,4
U0020,P0219,share,2025-01-17T22:36:00,5
U0070,P0460,click,2025-01-17T23:25:00,2
U0065,P0322,view,2025-01-18T00:07:00,1
U0019,P0395,dismiss,2025-01-18T01:36:00,-3
U0029,P0199,view,2025-01-18T02:07:00,1
U0035,P0133,view,2025-01-18T04:57:00,1
U0100,P0213,click,2025-01-18T05:39:00,2
U0061,P0049,booking,2025-01-18T06:07:00,10
U0016,P0488,view,2025-01-18T06:29:00,1
U0084,P0187,view,2025-01-18T06:47:00,1
U0070,P0003,view,2025-01-18T07:54:00,1
U0062,P0181,visit,2025-01-18T08:54:00,8
U0023,P0189,share,2025-01-18T08:55:00,5
U0073,P0430,click,2025-01-18T09:46:00,2
U0075,P0333,view,2025-01-18T10:39:00,1
U0061,P0295,visit,2025-01-18T15:25:00,8
U0068,P0067,save,2025-01-18T16:22:00,4
U0097,P0291,click,2025-01-18T18:15:00,2
U0098,P0134,click,2025-01-18T18:59:00,2
U0091,P0406,click,2025-01-18T19:49:00,2
U0038,P0351,share,2025-01-18T20:17:00,5
U0073,P0226,visit,2025-01-18T20:54:00,8
U0027,P0078,dismiss,2025-01-18T21:34:00,-3
U0082,P0337,visit,2025-01-18T22:56:00,8
U0094,P0358,share,2025-01-19T02:01:00,5
U0018,P0070,view,2025-01-19T02:49:00,1
U0058,P0312,visit,2025-01-19T02:55:00,8
U0048,P0387,view,2025-01-19T06:04:00,1
U0087,P0008,save,2025-01-19T08:29:00,4
U0081,P0179,share,2025-01-19T09:16:00,5
U0099,P0153,view,2025-01-19T10:09:00,1
U0090,P0014,click,2025-01-19T10:45:00,2
U0100,P0282,click,2025-01-19T10:52:00,2
U0069,P0310,save,2025-01-19T11:04:00,4
U0018,P0293,save,2025-01-19T14:24:00,4
U0030,P0246,view,2025-01-19T14:57:00,1
U0089,P0179,visit,2025-01-19T15:01:00,8
U0014,P0077,click,2025-01-19T17:16:00,2
U0010,P0166,view,2025-01-19T17:51:00,1
U0034,P0127,view,2025-01-19T18:17:00,1
U0012,P0208,dismiss,2025-01-19T18:45:00,-3
U0006,P0218,save,2025-01-19T20:12:00,4
U0019,P0426,click,2025-01-19T22:59:00,2
U0027,P0287,view,2025-01-20T00:16:00,1
U0078,P0353,click,2025-01-20T01:20:00,2
U0005,P0046,visit,2025-01-20T01:23:00,8
U0041,P0041,dismiss,2025-01-20T01:38:00,-3
U0054,P0426,share,2025-01-20T02:53:00,5
U0028,P0166,booking,2025-01-20T03:24:00,10
U0096,P0490,dismiss,2025-01-20T03:56:00,-3
U0079,P0434,view,2025-01-20T04:33:00,1
U0007,P0205,view,2025-01-20T05:26:00,1
U0036,P0315,view,2025-01-20T05:43:00,1
U0018,P0085,share,2025-01-20T06:58:00,5
U0030,P0056,click,2025-01-20T08:12:00,2
U0093,P0094,save,2025-01-20T08:51:00,4
U0100,P0471,view,2025-01-20T11:45:00,1
U0069,P0487,share,2025-01-20T12:38:00,5
U0094,P0426,save,2025-01-20T12:59:00,4
U0002,P0358,visit,2025-01-20T15:14:00,8
U0065,P0108,view,2025-01-20T16:30:00,1
U0043,P0266,save,2025-01-20T17:56:00,4
U0082,P0194,save,2025-01-20T18:03:00,4
U0056,P0320,click,2025-01-20T18:19:00,2
U0075,P0270,booking,2025-01-20T20:30:00,10
U0092,P0339,view,2025-01-20T22:40:00,1
U0059,P0406,booking,2025-01-20T23:27:00,10
U0100,P0266,click,2025-01-21T02:18:00,2
U0022,P0327,click,2025-01-21T02:20:00,2
U0077,P0300,view,2025-01-21T02:57:00,1
U0052,P0371,view,2025-01-21T03:15:00,1
U0071,P0241,click,2025-01-21T04:26:00,2
U0021,P0360,click,2025-01-21T04:43:00,2
U0070,P0076,click,2025-01-21T04:51:00,2
U0044,P0296,dismiss,2025-01-21T04:56:00,-3
U0003,P0299,view,2025-01-21T05:30:00,1
U0055,P0440,view,2025-01-21T06:01:00,1
U0034,P0402,visit,2025-01-21T06:18:00,8
U0010,P0405,click,2025-01-21T06:53:00,2
U0096,P0167,view,2025-01-21T07:05:00,1
U0079,P0120,view,2025-01-21T07:18:00,1
U0005,P0141,booking,2025-01-21T07:45:00,10
U0075,P0412,save,2025-01-21T07:45:00,4
U0040,P0114,view,2025-01-21T11:25:00,1
U0060,P0322,view,2025-01-21T12:14:00,1
U0020,P0218,visit,2025-01-21T12:42:00,8
U0049,P0084,visit,2025-01-21T14:46:00,8
U0048,P0269,click,2025-01-21T15:04:00,2
U0098,P0147,view,2025-01-21T15:29:00,1
U0025,P0224,share,2025-01-21T16:09:00,5
U0067,P0120,visit,2025-01-21T16:10:00,8
U0082,P0435,dismiss,2025-01-21T19:39:00,-3
U0051,P0498,view,2025-01-21T20:30:00,1
U0047,P0419,view,2025-01-21T21:36:00,1
U0098,P0241,view,2025-01-21T21:54:00,1
U0079,P0145,save,2025-01-21T22:32:00,4
U0083,P0335,view,2025-01-22T00:50:00,1
U0025,P0491,view,2025-01-22T00:52:00,1
U0048,P0365,view,2025-01-22T02:24:00,1
U0028,P0359,share,2025-01-22T03:13:00,5
U0089,P0044,visit,2025-01-22T05:05:00,8
U0094,P0238,save,2025-01-22T07:04:00,4
U0008,P0084,share,2025-01-22T07:13:00,5
U0066,P0112,click,2025-01-22T09:20:00,2
U0051,P0144,save,2025-01-22T10:24:00,4
U0046,P0212,click,2025-01-22T10:32:00,2
U0020,P0207,save,2025-01-22T12:07:00,4
U0074,P0203,booking,2025-01-22T12:25:00,10
U0011,P0143,view,2025-01-22T13:05:00,1
U0072,P0076,view,2025-01-22T14:56:00,1
U0005,P0307,click,2025-01-22T14:58:00,2
U0046,P0318,view,2025-01-22T16:06:00,1
U0051,P0083,share,2025-01-22T17:45:00,5
U0066,P0407,share,2025-01-22T18:03:00,5
U0081,P0298,visit,2025-01-22T19:40:00,8
U0045,P0408,view,2025-01-22T22:22:00,1
U0009,P0079,click,2025-01-22T23:28:00,2
U0016,P0497,view,2025-01-22T23:59:00,1
U0083,P0169,click,2025-01-23T00:45:00,2
U0067,P0106,click,2025-01-23T01:25:00,2
U0020,P0449,click,2025-01-23T01:41:00,2
U0080,P0423,click,2025-01-23T02:25:00,2
U0031,P0353,dismiss,2025-01-23T03:34:00,-3
U0023,P0125,click,2025-01-23T04:31:00,2
U0092,P0251,view,2025-01-23T05:39:00,1
U0043,P0485,booking,2025-01-23T06:06:00,10
U0099,P0283,click,2025-01-23T07:05:00,2
U0076,P0148,save,2025-01-23T07:05:00,4
U0010,P0307,visit,2025-01-23T07:57:00,8
U0017,P0086,click,2025-01-23T08:10:00,2
U0048,P0105,visit,2025-01-23T09:00:00,8
U0088,P0297,save,2025-01-23T10:43:00,4
U0065,P0177,dismiss,2025-01-23T12:30:00,-3
U0025,P0246,share,2025-01-23T13:30:00,5
U0066,P0394,share,2025-01-23T13:31:00,5
U0059,P0344,view,2025-01-23T15:06:00,1
U0062,P0202,view,2025-01-23T15:20:00,1
U0056,P0050,view,2025-01-23T15:57:00,1
U0070,P0222,visit,2025-01-23T17:00:00,8
U0091,P0262,share,2025-01-23T18:19:00,5
U0051,P0297,click,2025-01-23T19:03:00,2
U0031,P0364,share,2025-01-23T19:09:00,5
U0036,P0157,click,2025-01-23T19:15:00,2
U0046,P0172,view,2025-01-23T21:04:00,1
U0018,P0256,view,2025-01-23T21:54:00,1
U0002,P0324,dismiss,2025-01-23T22:27:00,-3
U0038,P0497,save,2025-01-23T22:45:00,4
U0092,P0129,save,2025-01-23T23:06:00,4
U0059,P0357,click,2025-01-23T23:23:00,2
U0001,P0307,click,2025-01-23T23:29:00,2
U0077,P0269,view,2025-01-24T00:13:00,1
U0023,P0480,visit,2025-01-24T00:16:00,8
U0061,P0002,booking,2025-01-24T01:01:00,10
U0036,P0060,click,2025-01-24T02:47:00,2
U0072,P0458,dismiss,2025-01-24T03:30:00,-3
U0073,P0436,view,2025-01-24T04:44:00,1
U0052,P0328,view,2025-01-24T06:14:00,1
U0002,P0395,booking,2025-01-24T07:30:00,10
U0033,P0375,view,2025-01-24T08:26:00,1
U0037,P0176,share,2025-01-24T09:28:00,5
U0068,P0262,view,2025-01-24T09:41:00,1
